ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,牟州千户,dynasty,蒙元,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_45582
0,牟州千户,dynasty,蒙元,,,stated in,《元史》
1,牟州千户,located in the present-day administrative territorial entity,云南省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_45582
1,牟州千户,located in the present-day administrative territorial entity,云南省,,,stated in,《中国历史地名大辞典》
2,牟州千户,located in the administrative territorial entity,牟定县西北十二里吕交城,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_45582
2,牟州千户,located in the administrative territorial entity,牟定县西北十二里吕交城,,,stated in,《中国历史地名大辞典》
3,牟州千户,located in the administrative territorial entity,威楚万户府,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_45582
3,牟州千户,located in the administrative territorial entity,威楚万户府,,,stated in,《元史》
4,牟州千户,replaced by,定远州,point in time,1275,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_45582
4,牟州千户,replaced by,定远州,point in time,1275,stated in,《元史》
5,牟州千户,start time,1254,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_45582
5,牟州千户,start time,1254,,,stated in,《元史》
6,牟州千户,end time,1275,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_45582
6,牟州千户,end time,1275,,,stated in,《元史》
