ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,铅山州,replaced,铅山县,point in time,1277,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
0,铅山州,replaced,铅山县,point in time,1277,stated in,《元史》
1,铅山州,dynasty,元,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
1,铅山州,dynasty,元,,,stated in,《元史》
2,铅山州,dynasty,明,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
2,铅山州,dynasty,明,,,stated in,《明史》
3,铅山州,located in the present-day administrative territorial entity,江西省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
3,铅山州,located in the present-day administrative territorial entity,江西省,,,stated in,《清嘉庆一统志》
4,铅山州,located in the administrative territorial entity,江淮行省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
4,铅山州,located in the administrative territorial entity,江淮行省,,,stated in,《元史》
5,铅山州,located in the administrative territorial entity,江浙行省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
5,铅山州,located in the administrative territorial entity,江浙行省,,,stated in,《元史》
6,铅山州,located in the administrative territorial entity,信州路,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
6,铅山州,located in the administrative territorial entity,信州路,,,stated in,《元史》
7,铅山州,located in the administrative territorial entity,广信府,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
7,铅山州,located in the administrative territorial entity,广信府,,,stated in,《明史》
8,铅山州,start time,1277,point in time,1277,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
8,铅山州,start time,1277,point in time,1277,stated in,《元史》
9,铅山州,end time,1368,point in time,1368,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
9,铅山州,end time,1368,point in time,1368,stated in,《明史》
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0,铅山州,dynasty,元,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206""",,
0,铅山州,dynasty,元,stated in,"[""《元史》""]",,
1,铅山州,dynasty,明,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206""",,
1,铅山州,dynasty,明,stated in,"[""《明史》"", ""《铅山县志》""]",,
2,铅山州,located in the present-day administrative territorial entity,江西省,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206""",,
3,铅山州,located in the administrative territorial entity,江淮行省,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206""",,
3,铅山州,located in the administrative territorial entity,江淮行省,stated in,"[""《元史》""]",,
3,铅山州,located in the administrative territorial entity,江淮行省,point in time,"""1277""",,
4,铅山州,located in the administrative territorial entity,江浙行省,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206""",,
4,铅山州,located in the administrative territorial entity,江浙行省,stated in,"[""《元史》""]",,
4,铅山州,located in the administrative territorial entity,江浙行省,point in time,"""1284""",,
5,铅山州,located in the administrative territorial entity,信州路,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206""",,
5,铅山州,located in the administrative territorial entity,信州路,stated in,"[""《元史》"", ""《元混一方舆胜览》""]",,
5,铅山州,located in the administrative territorial entity,信州路,point in time,"""1295""",,
6,铅山州,located in the administrative territorial entity,广信府,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206""",,
6,铅山州,located in the administrative territorial entity,广信府,stated in,"[""《明史》"", ""《铅山县志》""]",,
6,铅山州,located in the administrative territorial entity,广信府,point in time,"""1360""",,
7,铅山州,start time,1277,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206""",,
8,铅山州,end time,1368,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206""",,
