ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,麒麟市,dynasty,清,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
0,麒麟市,dynasty,清,,,stated in,清康熙《上元县志》
0,麒麟市,dynasty,清,,,stated in,道光《上元县志》
1,麒麟市,located in the present-day administrative territorial entity,江苏省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
1,麒麟市,located in the present-day administrative territorial entity,江苏省,,,stated in,1978年《江苏省地图集》
2,麒麟市,located in the administrative territorial entity,上元县开宁乡,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
2,麒麟市,located in the administrative territorial entity,上元县开宁乡,,,stated in,清康熙《上元县志》
2,麒麟市,located in the administrative territorial entity,上元县开宁乡,,,stated in,道光《上元县志》
2,麒麟市,located in the administrative territorial entity,上元县开宁乡,,,stated in,《景定建康志》
2,麒麟市,located in the administrative territorial entity,上元县开宁乡,,,stated in,《至正金陵新志》
2,麒麟市,located in the administrative territorial entity,上元县开宁乡,,,stated in,明万历《上元县志》
3,麒麟市,start time,1820,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
