ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,潜山县,dynasty,元,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
0,潜山县,dynasty,元,,,stated in,《元史》
1,潜山县,dynasty,明,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
1,潜山县,dynasty,明,,,stated in,《明史》
2,潜山县,dynasty,清,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
2,潜山县,dynasty,清,,,stated in,《清嘉庆一统志》
3,潜山县,located in the present-day administrative territorial entity,安徽省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
3,潜山县,located in the present-day administrative territorial entity,安徽省,,,stated in,《清嘉庆一统志》
4,潜山县,located in the administrative territorial entity,安庆路,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
4,潜山县,located in the administrative territorial entity,安庆路,,,stated in,《元史》
5,潜山县,located in the administrative territorial entity,安庆府,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
5,潜山县,located in the administrative territorial entity,安庆府,,,stated in,《明史》
5,潜山县,located in the administrative territorial entity,安庆府,,,stated in,《清嘉庆一统志》
6,潜山县,start time,1323年,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
6,潜山县,start time,1323年,,,stated in,《元史》
7,潜山县,end time,1911年,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
