ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,铅山州,replaced by,铅山县,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
0,铅山州,replaced by,铅山县,,,stated in,《明史》
1,铅山州,dynasty,元,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
1,铅山州,dynasty,元,,,stated in,《元史》
2,铅山州,dynasty,明,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
2,铅山州,dynasty,明,,,stated in,《明史》
3,铅山州,located in the present-day administrative territorial entity,江西省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
3,铅山州,located in the present-day administrative territorial entity,江西省,,,stated in,《清嘉庆一统志》
4,铅山州,start time,1277年,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
5,铅山州,end time,1368年,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206
