ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,麒麟市,dynasty,南宋,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
0,麒麟市,dynasty,南宋,,,stated in,《景定建康志》
1,麒麟市,dynasty,元,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
1,麒麟市,dynasty,元,,,stated in,《至正金陵新志》
2,麒麟市,dynasty,明,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
2,麒麟市,dynasty,明,,,stated in,《明万历上元县志》
3,麒麟市,dynasty,清,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
3,麒麟市,dynasty,清,,,stated in,《清康熙上元县志》
4,麒麟市,located in the present-day administrative territorial entity,江苏省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
4,麒麟市,located in the present-day administrative territorial entity,江苏省,,,stated in,《江苏省地图集》
5,麒麟市,located in the administrative territorial entity,上元县开宁乡,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
5,麒麟市,located in the administrative territorial entity,上元县开宁乡,,,stated in,《景定建康志》
