ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,麒麟市,dynasty,清康熙,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
0,麒麟市,dynasty,清康熙,,,stated in,《上元县志》
1,麒麟市,dynasty,道光,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
1,麒麟市,dynasty,道光,,,stated in,《上元县志》
2,麒麟市,dynasty,南宋景定,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
2,麒麟市,dynasty,南宋景定,,,stated in,《景定建康志》
3,麒麟市,dynasty,元,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
3,麒麟市,dynasty,元,,,stated in,《至正金陵新志》
4,麒麟市,dynasty,明,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
4,麒麟市,dynasty,明,,,stated in,《上元县志》
5,麒麟市,dynasty,清,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
5,麒麟市,dynasty,清,,,stated in,《上元县志》
6,麒麟市,located in the present-day administrative territorial entity,江苏省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
6,麒麟市,located in the present-day administrative territorial entity,江苏省,,,stated in,《江宁县地名录》
7,麒麟市,located in the administrative territorial entity,开宁乡,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
7,麒麟市,located in the administrative territorial entity,开宁乡,,,stated in,《景定建康志》
8,麒麟市,located in the administrative territorial entity,上元县,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
8,麒麟市,located in the administrative territorial entity,上元县,,,stated in,《至正金陵新志》
9,麒麟市,end time,1820年,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_23426
