ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,潜山县,replaced,怀宁县,point in time,1323,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
0,潜山县,replaced,怀宁县,point in time,1323,stated in,《元史》
1,潜山县,dynasty,元,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
1,潜山县,dynasty,元,,,stated in,《元史》
2,潜山县,dynasty,明,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
2,潜山县,dynasty,明,,,stated in,《明史》
3,潜山县,dynasty,清,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
3,潜山县,dynasty,清,,,stated in,《清嘉庆一统志》
4,潜山县,located in the present-day administrative territorial entity,安徽省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
5,潜山县,located in the administrative territorial entity,安庆路,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
5,潜山县,located in the administrative territorial entity,安庆路,,,stated in,《元史》
6,潜山县,located in the administrative territorial entity,安庆府,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
6,潜山县,located in the administrative territorial entity,安庆府,,,stated in,《明史》
6,潜山县,located in the administrative territorial entity,安庆府,,,stated in,《清嘉庆一统志》
7,潜山县,start time,1323,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
7,潜山县,start time,1323,,,stated in,《元史》
8,潜山县,end time,1911,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_43002
