ind,subject,predicate,object,qualifier,qualifier value
0,宁远县,start time,965,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
0,宁远县,start time,965,stated in,"[""《元丰九域志》"", ""《宋会要辑稿》"", ""《宋史》""]"
1,宁远县,end time,1911,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
2,宁远县,replaced,延喜县,point in time,965
2,宁远县,replaced,延喜县,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
2,宁远县,replaced,延喜县,stated in,"[""《元丰九域志》""]"
3,宁远县,dynasty,北宋,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
3,宁远县,dynasty,北宋,stated in,"[""《舆地纪胜》"", ""《元丰九域志》"", ""《宋史》"", ""《宋会要辑稿》""]"
4,宁远县,dynasty,元,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
5,宁远县,dynasty,明,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
5,宁远县,dynasty,明,stated in,"[""《明史》""]"
6,宁远县,dynasty,清,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
6,宁远县,dynasty,清,stated in,"[""《清一统志》"", ""《康熙会典》""]"
7,宁远县,located in the present-day administrative territorial entity,湖南省,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
8,宁远县,located in the administrative territorial entity,道州,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
9,宁远县,located in the administrative territorial entity,道州路,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
10,宁远县,located in the administrative territorial entity,道州府,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
11,宁远县,located in the administrative territorial entity,永州府,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
11,宁远县,located in the administrative territorial entity,永州府,stated in,"[""《清一统志》""]"
12,宁远县,located in the administrative territorial entity,永州府道州,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
13,宁远县,replaced,(大历县),reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41974"""
13,宁远县,replaced,(大历县),stated in,"[""《元丰九域志》"", ""《宋会要辑稿》"", ""《宋史》""]"
