ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,铅山州,start time,1277,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
1,铅山州,replaced ,铅山县,point in time,1277,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
1,铅山州,replaced ,铅山县,,,stated in,"[""《元史》"", ""《广信府志》""]"
2,铅山州,dynasty,元,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
2,铅山州,dynasty,元,,,stated in,"[""《元史》"", ""《明史》"", ""《广信府志》""]"
3,铅山州,located in the administrative territorial entity,江淮行省,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
3,铅山州,located in the administrative territorial entity,江淮行省,,,stated in,"[""《元史》""]"
4,铅山州,located in the administrative territorial entity,信州路,point in time,1295,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
4,铅山州,located in the administrative territorial entity,信州路,point in time,1295,stated in,"[""《元史》"", ""《元混一方舆胜览》""]"
5,铅山州,located in the administrative territorial entity,广信府,point in time,1360,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
5,铅山州,located in the administrative territorial entity,广信府,point in time,1360,stated in,"[""《明史》""]"
6,铅山州,dynasty,明,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
6,铅山州,dynasty,明,,,stated in,"[""《铅山县志》"", ""《明史》"", ""《清嘉庆一统志》""]"
7,铅山州,replaced by,铅山县,point in time,1369,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
7,铅山州,replaced by,铅山县,point in time,1369,stated in,"[""《铅山县志》"", ""《明史》""]"
8,铅山州,located in the present-day administrative territorial entity,江西省,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
8,铅山州,located in the present-day administrative territorial entity,江西省,,,stated in,"[""《江西省地图册》""]"
9,铅山州,end time,1369;1368,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
9,铅山州,end time,1369;1368,,,stated in,"[""《铅山县志》""]"
10,铅山州,located in the administrative territorial entity,江浙行省,point in time,1284,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_41206"""
10,铅山州,located in the administrative territorial entity,江浙行省,point in time,1284,stated in,《元史》
