ind,subject,predicate,object,qualifier,qualifier value
0,悦城县,start time,420,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_42364"""
1,悦城县,end time,592;591,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_42364"""
1,悦城县,end time,592;591,stated in ,"[""《隋书》""]"
2,悦城县,dynasty,东晋,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_42364"""
2,悦城县,dynasty,东晋,stated in,"[""《宋书》""]"
3,悦城县,located in the administrative territorial entity,晋康郡,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_42364"""
3,悦城县,located in the administrative territorial entity,晋康郡,stated in ,"[""《南齐书》""]"
4,悦城县,located in the present-day administrative territorial entity,广东省,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_42364"""
5,悦城县,dynasty,宋,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_42364"""
6,悦城县,dynasty,隋,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_42364"""
6,悦城县,dynasty,隋,stated in ,"[""《隋书》""]"
7,悦城县,merged into,乐城县,stated in ,"[""《隋书》""]"
7,悦城县,merged into,乐城县,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_42364"""
